#
# Version TT_2.0
#

#  Parameter thresholds:
    0.001562500000000    0.001575211391707    1.087121212121212    0.019289743778870
   23  8 12 20 24   384
   24 12 12 19 21   383
   23 14 13 20  3   375
   22 39  9 14 37   376
   22 13 11 18 33   373
   22 39 10 16 35   366
   21  4  4 17 36   315
   21  9 15 18 35   317
   21  1 31  8 30   394
   24  2 34  9  1   335
   22  2 27 10  3   374
   21  1 20 20 25   336
   23  0 21 16 16   348
   22  1 21 20  3   404
   21  0 23 12 36   406
   21  2 22  9 39   457
   23  3 25  6 39   450
   22  2 26  8 37   505
   22  3 30  5 39   423
   22  2 20 10 38   349
   22  2 21 12 37   403
   21 24 16  6 35   340
   26 28 17  3 35   716
   22 23 17  4 37   287
   21  2  2 28  0   570
   21  0  2 22  7   470
   21  2 18 14 38   390
   22  2 19 14 37   334
   22  2 17 18 35   572
   21 23 20  4 29   279
   23 24 18  4 35   434
   21 22 21  4 29   355
   22 21 21  4 35   360
   21 15 27  2 39   715
   22  8 37  3  4   354
   24  2 37  6  9   480
   21  3 37  4 36   309
   23  2 38  5 26   311
   22  2 36  6 21   319
   21 14 21  6 39   318
   21  8  7 20 34   468
   21  3 18 22  0   339
   21  0  4 25  6   431
   23  0  8 24  6   432
   21  0 18 22  1   322
   21 39 11 16 30   429
   21  6 22  6 39   433
   22  6 26  4 39   337
   22  4 23  9 34  1110
   21 10 24  6 26   314
   22  4 24 10 34   469
   21 13 22  6 26   298
   24 11 26  4 26   333
   21 19 22  4 23   604
   21 11 26  4 36   632
   23 16 22  4 39   302
   22 20 22  4 37   493
   21 10 24  6 35   308
   21 39 16  4 26   683
   22 25 18  4 30   300
   21  4 34  9  1   325
   21 19 13 12 20   324
   21 25 16  6 15   509
   21 16 15 12  8   606
   21 10 15 18 30   488
   21 22 17  6 33   960
   21  8 27  4 39   320
   22  5 38  4 27   326
   21  9 27  5 32   412
   21  5 26  6 39   306
   21  4 22 11 37   327
   21 17 12 14 34   473
   21 18 14  9 36   388
   22 16 13 13 36   341
   21 18 14 12 31   471
   22 15 14 14 32   379
   22 15 15 12 29   496
   22 16 15 10 34   537
   22 12 16  9 39   328
   21 14 13 14 38   415
   21 12 15 13 38   330
   21 14 15 14 25   359
   21 11 15 17 35   361
   21 17 12 16 31   587
   21 15 11 20  9   342
   21 16 16  8 34   316
   21  2 27  6 39   329
   21  2 27  8 37   381
   21  1 31  7 33   398
   21 21 26  2 11   400
   20  9  9 25 31   370
   23 12  8 23 31   462
   21  9  9 22 32   597
   21  4 10 25 25   860
   22  5 11 22 25   515
   20  0 26 16 27   367
   23  1 25 20  0   458
   23  1 23 19  2   459
   23  1 20 15 32   460
   23  1 23 14 29   503
   23  2 26 10 35   732
   22  4 26 17  0   750
   21  1 22 19 25   444
   21  1 23 17 27   364
   21  1 25 19  5   502
   22  0 24 17 27   600
   21  0 25 13 29   855
   21  4 27 15  0   380
   20 19 18  9 39   565
   25 17 18 10 18   382
   23 15 20  9  1   344
   23 16 19  7 35   371
   22 14 19  8 35   442
   22 17 17 10 37   443
   22  8 18 18  3   592
   22 22 16  7 12   567
   23 21 12  9 26   397
   22 21 18  7 19   796
   21 13 19 10 35   639
   23  6 20 11 38   727
   21 14 20  9 34  1111
   21  9 23  9 36   729
   24 11 22 10 16   392
   23  6 22 16  3   362
   22 13 21  8 32   449
   21 12 17 12 19   528
   21  9 21  9 39   568
   21  7 24  9 35   426
   21 19 17 12  1   463
   21  9 22 10 37   416
   20 29 25  2 31   507
   23 27 22  2 36   425
   22 19 26  2 39   861
   21 30 21  2 31   633
   21 26 21  2 39   738
   21 27 26  2 18   402
   20  3 22 11 39   576
   22 19 12 10 39   483
   21 14 18 10 39   396
   20 39 13  9 39   569
   22 24 14  6 39   422
   21 24 16  7 22   448
   21 21 18  8 33   363
   25 20 16  9 38   571
   20  1 32 18  0   525
   23  1 28 13  3   482
   21  1 31 13  1   485
   21  1 27 18  1   477
   20  2 15 22 24   424
   22  5 13 23 15   420
   23  3 17 25  0   608
   21  5 13 24 15   405
   20 20 20  6 32   413
   22 19 21  6 25   656
   21 21 19  6 32   438
   20 18 19  9 34   410
   20 39  3 22 33   436
   20  5 21 12 38   481
   20  2 19 21 19   696
   21  1 19 25  1   717
   20 15 12 20 22   350
   21 17 10 18 34   684
   23 17 11 20 27   474
   21 14 13 20 21   407
   21 14 14 18 22   435
   21 18 11 25  1   519
   20 13  7 21 34   520
   20  2 13 22 30   437
   20  8 19 12 37   494
   21  9 20 12 26   476
   20  1 23 17 29   395
   20  3 11 25 28   609
   21  4 13 24 24   440
   20  0 26 17 19   389
   20 17 14 14 31   419
   20 10 26  6 19   441
   20  1 20 16 33   517
   20  1 20 13 37   427
   20 20 12 12 36   439
   20 22 18  8  7  1172
   21 22 17  8 23   542
   22 24 14  8 33   951
   20 22 15  9 28   660
   20 14 19 12  5   521
   20 13 19 12 20   428
   20 13 18 12 36   430
   21 17 17 11 31   417
   20 39 14  9 15   586
   20  4 12 25 26   585
   20 20 14 14  3   484
   20 16 14 14 36   409
   20 14 15 17 33   581
   20 13 22  6 39   588
   20  1 37  9  0   498
   20 27 32  0 38   510
   20 21 19  7 32   445
   20 39 20  2 13   421
   20  8 23  8 38   536
   20  3 25  8 38   387
   20 23 20  3 37   646
   20  2 15 25  5  1477
   20  2 27 17  3   385
   20 18 17 10 37   644
   20 20 15 12 15   377
   20 19 17 10 37   616
   20 17 15 14 14   497
   20  1 25 19  6   418
   19 12 15 18 38   617
   23 17  9 17 38  1152
   21  2 17 17 37   490
   20  4 17 18 36   641
   21  3 17 16 38   491
   21  4 19 15 36   661
   21  8 19 14 34   489
   22  8 17 18 21   401
   21  9 19 14 31   414
   22 10 17 15 34   885
   20  6 16 18 38   451
   20 13 14 18 38   529
   20  3 21 17 29   593
   21  7 20 14 34   625
   20  4 22 13 30   598
   20 10 20 14 14  1383
   20 12 19 13 14   719
   20 18 10 16 38   533
   21 20 12 12 38   532
   20 39 12 12 38   949
   20 17 11 17 38   653
   20 21 13 13 12   526
   21 19 14 13 27  1004
   21 19 13 14 33   866
   22 39 12 14 34   562
   21 20 15 14 14  1175
   20 21 12 16 30   739
   19  1 35 10 37   626
   23  1 27 14 10   596
   21  2 28  8 38   622
   20  0 27 12 27   595
   20  2 30  6 39   728
   20  1 31 10 38   500
   20  1 30 12  6   602
   21  0 28 13 12   549
   20  0 30 12 12   800
   20  4 36 10  1   799
   21  1 36  8 23   628
   20  2 39  5 27   523
   20  1 34 13  0   613
   19  4 22 12 39   504
   22 18 12 12 39   556
   19 19 23  6 39   514
   22 19 24  3 39   557
   20 16 19  9 37   623
   21 10 22  9 39   594
   21 14 21  8 37   601
   20 20 24  3 31   527
   20 14 24  4 39   634
   19 39  2 21 36   575
   20  2 15 19 35   795
   20  4  9 21 35   817
   19 26 19  4 39   492
   21 24 16  6 39   554
   21 25 20  3 37   614
   20 22 21  4 39   544
   19 20 26  4 35   566
   20 19 25  4 39   577
   19  0 25 12 39   652
   20  1 31  8 39   767
   20  2 28  9 39   638
   19  0 30 14 16   925
   20  0 27 13 27   599
   20  1 29 16  3  1508
   19 39  3 24 33   513
   20  2 12 23 32   637
   19 26 16  6 37  1768
   20 39 14  9 28   832
   19 16 14 20 23   573
   22 18 14 16 28   766
   21  6 17 21 21   685
   20  3 20 21 19   937
   20 21 13 17 15   980
   20 19 11 18 27   829
   20  5 21 20  4   658
   20  4 27 18  1   524
   21  3 22 20  9   553
   19 27 21  3 35   446
   21 27 18  4 35   886
   20 26 20  4 21   836
   19 25 22  3 37  1112
   21 23 23  4 19   676
   20 21 24  4 29  1129
   21 22 24  3 35   657
   19  1 39  5 37  2188
   19 20 17 10 34  1113
   19  6 13 28  0   578
   19 20 22  6 27   938
   19  1 20 24  2   531
   20  4 22 22  0  1746
   20  1 22 21  8   720
   19  2 20 27  0   908
   19  8 35  2 38   698
   21 10 33  3 14   769
   20  9 28  4 39   687
   20  7 36  6  1   579
   19 20 32  2 34   997
   21 17 29  3 13   522
   21 27 27  2 18   702
   20 17 27  3 36   574
   20 18 32  2 39   541
   20 22 32  2 18   540
   19 20 16 12  9   548
   19  1 29 18  1   700
   19 25 15  8 22   547
   19  9 11 25 15   539
   19  5 21 19 13   611
   19 18 14 17 31   516
   19 18 21  7 14   956
   19  3 24 18  7  1010
   19 24 23  3 31   898
   19 15 15 13 36   546
