#
# Version TT_2.0
#

#  Parameter thresholds:
    0.001562500000000    0.001575211391707    1.087121212121212    0.017191781140921
   20 13 11 18 32   505
   19 15 17 14 39   472
   24  8 14 16 29   385
   22 16 14  9 39   683
   23 17 11 12 39   887
   21  8 12 18 32   396
   22  5 16 18 16   482
   21 13 12 17 32   483
   21  7 14 18 29   561
   21  2 20 11 39   630
   21  3 19 15 33   424
   20  8 19 14 39   360
   25 11 19  8 39   881
   23  9 20 11  8   525
   22 17 19  6 38   520
   21 12 19  8 39   587
   21 10 19 11 26   398
   21  4 26 10  7   514
   21  9 18 17  2   350
   20  9 22  8 28   452
   21 13 20  5 39   507
   22 10 23  4 36   380
   21 17 20  4 39   560
   21 11 20  7 39   392
   21  9 21  9 36  1256
   21  7 25  7 14   562
   20 17 14 12 34   389
   22 16 14 14 28   880
   22 18 14 13 16   516
   21 17 14 10 39   393
   20 18 14  9 38   383
   21 19 14  8 25   387
   20 20 11  9 39   593
   20 19 15  8 29   423
   20 17 17  8 39   428
   21 16 19  7 36   367
   20 21 11  9 34   441
   20 12 13 17 32   429
   20 12 13 18 21   439
   20 17 15 10 34   401
   21 16 17 10 34   419
   20 15 20  6 38   438
   20 11 14 18 22   581
   20 19 16  8 23   591
   20  9 20 10 39   839
   20 19 10 12 38   577
   20 20 12  8 39   576
   20 20 15  8 21   582
   22 21 15  6 26   484
   20 20 15  5 36   544
   20 22 15  4 35   661
   22 24 15  3 37   902
   20 22 14  6 36   662
   19  1 28 19 30   663
   23  1 30 18  1   448
   23  1 22 14 35   453
   23  0 22 20 28   556
   22  0 29 13 16   840
   21  1 25 17 31   431
   20  1 30 22  0   575
   22  1 28 20  8  1086
   20  4 25 17  1   460
   19  3 12 25 34   642
   24  1 17 25  1   557
   24  5 14 21 23  1194
   22  7  7 25 32  1508
   22  2 17 21 13   996
   20  4 25 22  0   578
   20  7 14 20 29   792
   20  5 20 20  3   462
   21  3 18 19 33   855
   20  2 25 19  9   837
   20  3 20 17 33   546
   19 17 13 17 38   552
   22  3 15 16 37   476
   21 18 13 14 33   777
   21 15 11 20 20   622
   21 19 11 17 12   554
   20 11 10 18 36   991
   20 39  9 17 38   997
   20 15 12 18 22   474
   20 17  9 18 27  1445
   20 13 10 20 34   480
   20 16  9 25  1   553
   19  1 34 10 36   657
   23  1 35  5 38   707
   22  1 29 13 29   579
   21  2 38  5 26  1075
