#
# Version TT_2.0.1
#

#  Parameter thresholds:
    0.000437508494989    0.000695958681429    1.171568627450981 -178.500000000000000
   27  0 20  5 20   184
   29  0 21  4 20   162
   27 24 13  8 19   340
   29 21 17  1 19   326
   29 21 17  2 16   203
   28 20 16  3 19   175
   28 18 20  1 19   435
   28 18 20  9 12   226
   27 22 19  5 11   255
   29 19 19  7 12   183
   29 21 20  1 14   152
   29 22 18  9 10   355
   27 13 25  8  9   238
   28 10 24  7 11   295
   28  6 26  9  9   143
   27 21 22  2  9   153
   29 18 22  9  9   232
   29 21 20  2 12   415
   29 24 21  2  5   147
   28 15 22  6 11   173
   28 26 20 12  3   281
   27 20 15  3 20   171
   31 20 12  5 20   359
   27  4 23  2 19   150
   30  2 22  7 15   272
   28 13 23  2 14   219
   28  2 23  7 14   220
   27 15 20 10 11   271
   29 21 17 10 11   176
   27 11 17 10 12   268
   27  2 13 13 11   246
   27 22 15 13 10   249
   27 19 20 14  7   250
   28 19 20 11 10   247
   28 19 22  9  9   218
   28 23 21  9  5   277
   28 19 21  6 11   500
   28 19 22  1 13   200
   27 22 21  1 13   273
   29 23 20  0 14   187
   28 22 21  6  7   253
   27 20 21 10  8   149
   28 10 30 11  5   161
   27  9 24 11 10   315
   27  9 17  3 20   374
   27 10 16  4 20   166
   27 18 22  0 19   210
   27 39 11 12 11   248
   27  6 18 13 11   211
   27 22 20  2 12   164
   27 24 19  0 12   334
   27 24 19  4  8   292
   27 24 21  9  6   286
   27  4 17  5 20   287
   26 21 17  9 20   288
   28 19 20  7 13   418
   30 18 18  7 19   335
   30 21 20  2 14   233
   28 18 21  0 20   289
   28 18 19  5 19   212
   28 22 14  9 19   186
   27 18 20  4 20   202
   27 22 19  5 14   151
   27 20 18  7 15   414
   28 20 18  3 18   502
   27 23 18  1 16   213
   26 18 15 13 16   330
   30  0 17 10 16   298
   28 17 16 12 13   393
   27 22 12 11 16   243
   26 11 18  9 20   266
   27 18 18  7 20   299
   26 27 18  2  8   236
   28 26 16  2 12   357
   28 26 18  4  8   261
   28 26 18  9  5   308
   28 27 19  6  4   257
   27 39 14  1 19   609
   27 26 15 13  7   395
   28 26 15  9 10   256
   27 25 21  6  5   258
   26 17 22  2 18   242
   28 14 23  3 15   610
   26 23 21  3  9   350
   26  1 27  0 20   225
   27  1 25  1 20   240
   27  4 22  2 20   327
   26 19 21  6 13   331
   26 39 15  1 16   188
   26 39 12 13 13   658
   27 21 17 13 11   284
   26 24 14  9 17   274
   26 19 26  0  6   259
   26 13 30 17  2   344
   26  3 27  9  9   245
   27  7 29  7  8   431
   26 23 21 12  7   234
   26  1 19  6 20   276
   26 25 21  6  6   254
   25 17 17 10 20   360
   30 21 12 10 19   444
   25 23 17  7 19   303
   28 23 16  9 18   228
   26 26 15  2 17   321
   26 23 21  2 10   282
   26 24 17  7 10   324
   25 22 20  5 19   244
   30 21 18  7 19   221
   27 21 22  5  9   275
   26 21 18  3 20   262
   27 23 18  1 20   251
   27 22 13  5 20   519
   25 17 22  4 20   416
   28  9 22  5 17   204
   27 15 22  5 17   278
   26 14 23  5 14   323
   25 16 20 10 17   215
   27  1 18 10 20   263
   27 16 18 12 15   264
   26  9 21 10 14   265
   25 26 18  2 13   503
   28 25 19  4  9   293
   28 26 19  0 14   291
   26 25 20  4  8   421
   25 17 19  8 20   260
   25 10 30  6 10   290
   26 10 31  2 11   468
   28  7 30  0 17   310
   26 12 29  8  7   297
   26 11 31  6  9   307
   26 15 32  6  6   390
   27 18 24  4  7   575
   26  7 25  1 20   441
   26 17 26  8  5   641
   26 21 26 17  2   345
   26 24 24  4  2   440
   26 13 27  4 10   332
   27 11 29  7 10   401
   25 13 20  8 20   407
   25 39 14  6 19   339
   26 39 13 10 17   283
   25  8 39  2 11   362
   28 11 33  6 10   427
   25  7 25  2 18   342
   27  4 24  3 19   341
   25 17 23  2 20   554
   28 17 25  2 10   349
   27 20 23  0 15   543
   26 14 25  2 13   306
   26 11 25  2 16   328
   25  5 21  8 20   361
   25 39 16  2 13   380
   25 39 15  5 17   397
   25 20 14 10 20   565
   25 39 17  9  4   343
   26 28 17  2  8  1037
   26 28 19  0  9   450
   25 39 14 13 13   640
   25 19 20  7 17   642
   25 25 19  2 12   294
   25 24 19  4 12   387
   28 23 18  7 13   346
   26 23 18  5 19   279
   25 23 21  5 10   832
   25 27 20  1  9   876
   25 26 21  0 13   300
   25 14 39  0 11   305
   26 14 29  4 10   520
   25  9 23  7 14   267
   25  9 22  7 18   639
   25 26 18  0 16   322
   25 39 16  0 18   675
   25 27 20  9  4   445
   25 16 23  3 20   347
   26 17 25  5  9   525
   25 15 23  5 18   528
   29  2 24  4 19   586
   26  5 23  4 20   375
   25  6 23  7 18   317
   25  1 25  4 18   296
   27  1 26  9 11   521
   25  9 23  8 17   309
   27  9 22 10 14   432
   25 17 22  9 14   304
   26 15 22  7 18   318
   25 17 23  5 15   504
   25 14 26  7 10   638
   25 13 26  6 11   348
   26  9 30  5 11   456
   25 16 26  5 10   454
   25 16 34  1 10   522
   25 17 39  4  4   336
   25  9 30  1 13   311
   25 15 22  8 18   316
   26 10 22  9 18   465
   25  6 18 13 13   422
   25 39 12  5 20   457
   24 22 15 13 20   419
   25 22 16 12 13   285
   25 39 12  9 20   597
   24 18 14 16 15   368
   28 39 13 15 15   469
   28 16 18 16 10   369
   27 23 14 13 19   423
   24 26 17 17  9   302
   28 26 18  9  9   353
   26 26 18  7 11   301
   29 25 20  5 10   470
   27 26 18  4 13   424
   26 26 16  4 15   392
   26 39  2 18  8   428
   25  1 17 21  6   551
   24  9 30  2 20   563
   28  5 27  3 20   363
   26 11 30  2 15   438
   25  2 25  4 20   408
   25 11 30  3 14   391
   24 22 22  2 16   356
   27 19 21  5 17   354
   26 23 22  2 10   382
   25 18 23  2 17   381
   24  5 23  7 20   394
   28 10 22  9 19   601
   25 16 22  8 19   561
   25 10 23  7 19   405
   25  5 22  8 20   437
   24  9 37  1 20   699
   26  8 39  2 12   338
   26  6 31  2 18   991
   25 11 38  0 17   576
   24 21 24  5  8   429
   27 20 26  5  6   442
   26 21 23 11  6   552
   25 24 22 12  6   351
   25 24 24  4  4   400
   25 21 23  3 10   544
   24  5 22  9 20   615
   26 17 19  9 20   399
   25 16 18 10 20   379
   24 39 16  2 18   406
   25 26 16  5 17   388
   26 25 19  5 12   451
   24 26 16  9 15   329
   26 25 16  7 17   436
   26 26 18  6 13   386
   25 26 16 13 11   472
   25 23 16 10 17   402
   24  1 14 23  7   566
   24 22 17  8 20   473
   25 23 17  4 20   403
   25 39 14  6 20   659
   25 24 16  2 20   312
   26 26 15  2 20   337
   24 22 20  4 20   325
   24 27 18  6  9   396
   27 39 16  5 11   358
   26 28 17  6  9   398
   26 39 16  4 17   404
   24 17 25  3 13   433
   25 16 26  3 13   833
   25 16 28  0 15   567
   24 24 17  6 17   371
   24  5 29  9 11   529
   24 14 20  9 20   366
   24 22 23  0 16   662
   24 39 13 12 19   497
   24 17 22  7 19   535
   24 18 18  9 20   448
   24  4 25  7 12   411
   24 26 17  0 20   319
   24 16 21 10 14   676
   24 23 13 13 20   704
   24 20 21  5 14   645
   24  1 39  1 20   459
   24  9 33  5 11   462
   24 23 17  9 16   314
   24 25 17 13 11   526
   24 23 18  7 16   376
   24 20 23  0 19   643
   24 39  4 23  7   464
   24 10 17 19  7   373
   24 21 25  8  5   647
   24  3 31 13  6   523
   24 16 22 13  8   446
   25 20 22 10  9   447
   24 14 24 11 10   822
   23 19 16  9 21   588
   28 21 15  0 21   372
   23 25 19  5 20   453
   28 39 16  4 19   458
   27 25 16  7 19   507
   26 24 20  1 19   383
   24 23 21  3 13   333
   24 26 18  3 17   378
   25 26 17  6 17   377
   24 20 18  7 20   385
   24 23 22  2 13   409
   24 26 15  5 20   412
   24 26 17  5 19   352
   23 39  4 19 11   463
   29 11  8 18 11   370
   29 15 17 18 10   365
   24  0 10 19 10   384
   24  1 14 18 11   364
   24 15 17 19  8   668
   23 22 20  9 19   367
   27 22 21  7 11   515
   26 20 21  8 14   516
   26 23 21  9 10   460
   26 25 19  9 10   673
   25 24 20 10 10   555
   24 21 20 10 17   486
   26 22 20 10 16   660
   25 23 17 12 15  1040
   24 20 22  8 12   665
   26 22 22  6 11   495
   25 19 23  5 12  1055
   24 23 18 10 16   481
   24 20 23  1 19   449
   24 23 19 10 13   434
   24 25 19  7 12   475
   24 18 25  4 10   546
   25 20 24  1 14   557
   24 19 24  2 13   553
   24 21 23  2 16   545
   23 22 17  1 21   577
   23 28 17  5 17   688
   24 39 17  0 17   425
   23  2 25  6 20   556
   24 12 25  6 15   487
   26 13 29  2 15   439
   25 13 32  4 11   493
   24  8 24  8 15   702
   24  6 25  8 14   801
   24 16 30  1 15  1084
   24 16 36  0 15   542
   23  2 13 17 12   853
