#
# Version TT_2.0.5beta
#

#  Parameter thresholds:
    0.000003366210175    0.001512401693890    1.077935222672065    0.025367402581773
   26 23 48 15 28   519
   26 35 29 18 42   417
   26 35 24 23 36   357
   26 35 31 21 33   362
   26 38 38 24  6   574
   26 39 36 22 12   378
   26 38 33 22 22   510
   26  7 25 29 31   445
   25 25 22 34 17   443
   28 31 22 31 17  1142
   27 33 18 31 21   486
   27 15 25 32 15   713
   28 25 25 29 22   577
   27 31 27 31  7   416
   26  9 18 32 25   420
   28 14 18 31 28   675
   26 34 29 32  3   405
   25  1 27 27 42   388
   29 26 23 26 36   355
   27  2 29 27 33   514
   27  1 31 23 42   511
   27  9 22 28 38   399
   26 13 25 27 39   401
   26 21 22 26 39   774
   26 31 29 27 19   367
   26 21 20 24 45   448
   25 11 19 23 49   383
   25 39 30 13 47   455
   26 29 30 13 49   499
   25 35 29 18 46   567
   27 26 25 21 45   415
   26 34 30 18 44   523
   25 31 32 13 49   601
   29 49 32  9 47   444
   27 30 38 10 42   381
   26 30 33 12 46   474
   27 30 35 13 43   524
   26 37 33 10 45   564
   26 37 36  8 45   633
   25 25 33 16 44   436
   27 38 33 16 38   451
   25 10 37 24 27   804
   25  0 29 28 33   422
   26  0 29 29 28   392
   25 25 18 32 23   421
   25 38 29 20 35   423
   25 38 24 20 42   408
   26 49 16 22 40   495
   26 49 26 20 37   404
   27 41 34 21 22   584
   26 41 33 17 34   390
   26 49 29 21 32   457
   25 10 30 27 28   458
   25 31 34 15 43   412
   26 31 33 16 44   426
   25 28 39 28  3   424
   25 25 31 19 42   425
   25 25 34 18 37   978
   25 49 31 18 36   634
   26 49 34 17 27   389
   25 49 36 19 20   393
   25 46 43  5 24   394
   25 42 40 18 10   470
   25 49 38 13 24   418
   25 49 33 21 24   358
   25 15 37 25 20   793
   26 22 34 24 24   407
   25 19 38 25 15   406
   25 36 43  6 39   611
   25 45 37 17 19   467
   25 31 31 18 45   468
   25 18 31 20 45   471
   25 37 31 12 49   402
   25 41 35 25  6   479
   25 36 26 30 11   396
   26 36 25 32 10   462
   25 39 39 17 18   541
   25 35 28 15 49   437
   25 49 33 23 12   784
   26 30 33 24 23   546
   25 30 38 24 10   532
   27 39 36 23 15   624
   25 29 41 25  7   520
   25 33 38 12 42   769
   25 11 25 36  0   578
   25 24 33 28 12   844
   25 43 39 11 32   694
   25 49  0 37  1   472
   24 14 18 34 32   461
   25 13 25 32 31   446
   26 20 20 34 22   504
   26 25 23 31 23   786
   25 19 30 28 25  1653
   25 18 17 29 36   608
   26 25 22 29 30   547
   25 20 16 29 40   509
   25 27 27 26 28   785
   27 25 25 29 29   770
   24 10  8 32 38   485
   26 14 18 31 34   579
   25  6 13 32 36   513
   24 15 10 29 41   491
   24 27 45 18 21   512
   26 30 40 19 23   487
   26 31 34 19 32   515
   25 36 33 23 25   594
   24 13 40 23 24   676
   25 29 41 25 10   528
   25 20 41 25 14   680
   24 10 23 23 49   599
   27 23 25 21 47   751
   24  4 25 26 43   750
   25  4  8 27 43   896
   24 13 26 28 38   505
   24 22 19 23 49   605
   24  1 31 23 45   677
